Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
NewLearningBrain,0.124,94.362,0.560,1020,1.300
NewLearningBrain,0.128,95.217,0.634,1043,1.290
NewLearningBrain,0.106,96.146,0.720,1055,1.807
NewLearningBrain,0.103,96.879,0.554,1005,1.100
NewLearningBrain,0.096,97.619,0.559,1048,1.519
NewLearningBrain,0.096,98.343,0.545,1014,1.047
NewLearningBrain,0.095,99.151,0.616,1002,1.040
NewLearningBrain,0.123,99.850,0.498,1036,1.202
NewLearningBrain,0.111,100.666,0.617,1014,1.697
NewLearningBrain,0.096,101.513,0.608,1063,1.205
NewLearningBrain,0.098,102.259,0.565,1039,0.947
NewLearningBrain,0.096,103.047,0.599,1014,1.015
NewLearningBrain,0.106,103.776,0.549,1023,0.893
NewLearningBrain,0.119,104.675,0.687,1130,1.100
NewLearningBrain,0.110,105.501,0.625,1005,1.270
NewLearningBrain,0.116,106.396,0.680,1033,1.155
NewLearningBrain,0.126,107.193,0.583,1050,0.975
NewLearningBrain,0.109,108.120,0.668,1048,1.072
NewLearningBrain,0.130,108.887,0.583,1019,1.313
NewLearningBrain,0.110,109.701,0.616,1017,1.307
NewLearningBrain,0.122,110.559,0.641,1044,1.607
NewLearningBrain,0.118,111.419,0.650,1065,1.900
NewLearningBrain,0.106,112.164,0.562,1014,1.123
NewLearningBrain,0.106,112.959,0.601,1019,1.097
NewLearningBrain,0.106,113.774,0.616,1028,1.576
NewLearningBrain,0.107,114.577,0.607,1020,1.225
NewLearningBrain,0.097,115.369,0.573,1057,1.253
NewLearningBrain,0.120,116.263,0.678,1026,0.880
NewLearningBrain,0.123,117.243,0.763,1054,1.190
NewLearningBrain,0.106,118.019,0.592,1022,0.770
NewLearningBrain,0.106,118.762,0.568,1041,1.927
NewLearningBrain,0.095,119.590,0.641,1022,1.304
NewLearningBrain,0.098,120.324,0.554,1051,1.232
NewLearningBrain,0.096,121.144,0.624,1094,1.347
NewLearningBrain,0.100,121.927,0.603,1050,0.733
NewLearningBrain,0.105,122.741,0.600,1040,nan
NewLearningBrain,0.098,123.445,0.535,1007,2.357
NewLearningBrain,0.098,124.205,0.582,1036,2.020
NewLearningBrain,0.098,125.001,0.606,1052,3.417
NewLearningBrain,0.104,125.755,0.571,1040,nan
NewLearningBrain,0.100,126.604,0.663,1023,1.943
