Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
NewLearningBrain,0.156,1.880,0.715,1170,nan
NewLearningBrain,0.103,2.964,0.883,1137,1.273
NewLearningBrain,0.097,3.864,0.697,1032,1.905
NewLearningBrain,0.099,4.731,0.669,1059,0.810
NewLearningBrain,0.093,5.431,0.518,1007,1.457
NewLearningBrain,0.097,6.296,0.669,1042,1.442
NewLearningBrain,0.104,7.082,0.588,1040,nan
NewLearningBrain,0.107,7.860,0.585,1098,2.557
NewLearningBrain,0.135,8.901,0.745,1014,-0.720
NewLearningBrain,0.102,9.768,0.668,1065,1.100
NewLearningBrain,0.095,10.499,0.550,1019,-0.230
NewLearningBrain,0.096,11.305,0.617,1054,-0.040
NewLearningBrain,0.097,12.083,0.592,1046,0.287
NewLearningBrain,0.101,12.855,0.588,1012,-0.943
NewLearningBrain,0.097,13.619,0.579,1019,1.120
NewLearningBrain,0.107,14.446,0.621,1054,1.295
NewLearningBrain,0.100,15.256,0.594,1056,1.760
NewLearningBrain,0.103,16.067,0.621,1055,1.250
NewLearningBrain,0.101,16.893,0.624,1004,-0.810
NewLearningBrain,0.097,17.618,0.552,1055,2.450
NewLearningBrain,0.094,18.393,0.593,1042,1.573
NewLearningBrain,0.097,19.211,0.631,1017,3.330
NewLearningBrain,0.113,19.881,0.484,1046,4.555
NewLearningBrain,0.106,20.710,0.623,1011,1.852
NewLearningBrain,0.113,21.529,0.610,1111,0.590
NewLearningBrain,0.096,22.436,0.643,1015,0.080
NewLearningBrain,0.113,23.259,0.618,1013,1.330
NewLearningBrain,0.102,23.984,0.546,1035,2.200
NewLearningBrain,0.108,24.908,0.717,1050,2.283
NewLearningBrain,0.096,25.747,0.655,1037,2.114
NewLearningBrain,0.093,26.559,0.622,1010,2.012
NewLearningBrain,0.104,27.259,0.518,1048,1.627
NewLearningBrain,0.103,28.044,0.589,1041,3.553
NewLearningBrain,0.094,28.858,0.632,1011,1.177
NewLearningBrain,0.113,29.713,0.585,1049,1.970
NewLearningBrain,0.134,30.494,0.569,1034,2.072
NewLearningBrain,0.103,31.396,0.694,1030,1.750
NewLearningBrain,0.099,32.262,0.665,1052,1.720
NewLearningBrain,0.102,33.090,0.626,1044,2.908
NewLearningBrain,0.106,33.822,0.552,1026,2.420
NewLearningBrain,0.095,34.632,0.623,1060,0.767
NewLearningBrain,0.105,35.416,0.586,1060,3.000
NewLearningBrain,0.094,36.320,0.670,1058,2.945
NewLearningBrain,0.097,36.972,0.491,1031,1.555
NewLearningBrain,0.096,37.815,0.654,1023,1.543
NewLearningBrain,0.095,38.598,0.605,1052,2.507
NewLearningBrain,0.099,39.379,0.592,1036,1.560
NewLearningBrain,0.099,40.096,0.543,1030,2.342
NewLearningBrain,0.093,40.912,0.631,1030,3.525
NewLearningBrain,0.102,41.719,0.609,1014,1.080
NewLearningBrain,0.093,42.424,0.536,1001,2.705
NewLearningBrain,0.096,43.351,0.673,1044,2.388
NewLearningBrain,0.093,43.988,0.480,1016,2.455
NewLearningBrain,0.100,44.763,0.590,1018,1.490
NewLearningBrain,0.098,45.554,0.602,1032,1.681
NewLearningBrain,0.098,46.288,0.547,1051,1.627
NewLearningBrain,0.104,47.132,0.652,1033,1.360
NewLearningBrain,0.093,47.899,0.582,1027,1.773
NewLearningBrain,0.098,48.640,0.549,1039,1.922
NewLearningBrain,0.096,49.368,0.551,1003,1.227
NewLearningBrain,0.100,50.171,0.584,1040,nan
NewLearningBrain,0.097,50.889,0.554,1005,1.667
NewLearningBrain,0.106,51.713,0.622,1114,2.945
NewLearningBrain,0.096,52.481,0.588,1011,3.212
NewLearningBrain,0.103,53.310,0.625,1011,1.960
