Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
NewLearningBrain,0.266,1.508,0.334,585,nan
NewLearningBrain,0.242,2.077,0.296,585,nan
NewLearningBrain,0.268,2.877,0.503,585,nan
NewLearningBrain,0.216,3.457,0.311,511,1.230
NewLearningBrain,0.055,3.699,0.159,137,1.670
NewLearningBrain,0.156,4.013,0.136,373,2.080
NewLearningBrain,0.061,4.200,0.106,130,nan
NewLearningBrain,0.057,4.405,0.132,130,nan
NewLearningBrain,0.136,4.631,0.074,325,nan
NewLearningBrain,0.058,4.806,0.100,130,nan
NewLearningBrain,0.056,5.006,0.121,130,nan
NewLearningBrain,0.045,5.107,0.051,113,-0.535
NewLearningBrain,0.078,5.214,0.024,195,nan
NewLearningBrain,0.055,5.384,0.101,130,nan
NewLearningBrain,0.057,5.600,0.145,145,-0.050
NewLearningBrain,0.055,5.688,0.029,130,nan
NewLearningBrain,0.052,5.797,0.054,130,nan
NewLearningBrain,0.066,5.978,0.104,163,1.280
NewLearningBrain,0.054,6.107,0.062,130,nan
NewLearningBrain,0.055,6.260,0.084,130,nan
NewLearningBrain,0.056,6.381,0.055,130,nan
NewLearningBrain,0.056,6.531,0.080,130,nan
NewLearningBrain,0.053,6.659,0.063,130,nan
NewLearningBrain,0.045,6.730,0.022,111,-1.195
NewLearningBrain,0.054,6.861,0.068,134,2.940
NewLearningBrain,0.055,6.971,0.049,130,nan
NewLearningBrain,0.055,7.204,0.147,130,nan
NewLearningBrain,0.055,7.292,0.030,130,nan
NewLearningBrain,0.055,7.402,0.049,130,nan
NewLearningBrain,0.056,7.523,0.055,130,nan
NewLearningBrain,0.054,7.692,0.100,130,nan
NewLearningBrain,0.097,7.911,0.106,230,-2.050
NewLearningBrain,0.054,8.019,0.045,130,nan
NewLearningBrain,0.060,8.170,0.076,130,nan
NewLearningBrain,0.056,8.387,0.135,130,nan
NewLearningBrain,0.047,8.460,0.022,113,-1.270
NewLearningBrain,0.062,8.535,0.011,151,-2.190
NewLearningBrain,0.054,8.642,0.045,139,2.340
NewLearningBrain,0.043,8.812,0.111,103,-0.210
NewLearningBrain,0.047,8.991,0.110,116,-2.540
NewLearningBrain,0.056,9.091,0.039,130,nan
NewLearningBrain,0.055,9.164,0.016,130,nan
NewLearningBrain,0.059,9.340,0.097,130,nan
NewLearningBrain,0.071,9.571,0.141,189,0.890
NewLearningBrain,0.048,9.687,0.060,128,-1.770
NewLearningBrain,0.052,9.762,0.020,130,nan
NewLearningBrain,0.051,9.875,0.051,120,4.650
NewLearningBrain,0.060,10.126,0.158,130,nan
NewLearningBrain,0.061,10.291,0.054,130,nan
NewLearningBrain,0.059,10.362,0.010,130,nan
NewLearningBrain,0.059,10.494,0.067,130,nan
NewLearningBrain,0.053,10.639,0.083,130,nan
