Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
bar,0.173,2.476,1.441,1067,-1.062
bar,0.154,3.552,0.802,1133,-1.062
bar,0.158,4.673,0.851,1151,-1.061
bar,0.152,5.738,0.806,1040,nan
bar,0.134,6.881,0.879,1087,-0.784
bar,0.153,7.994,0.850,1198,5.129
bar,0.150,9.057,0.796,1170,nan
bar,0.144,10.133,0.827,1034,7.192
bar,0.160,11.118,0.731,1033,1.852
bar,0.145,12.081,0.703,1053,0.887
bar,0.147,13.056,0.720,1124,-1.062
bar,0.176,14.117,0.774,1124,-1.062
bar,0.172,15.160,0.762,1118,-1.030
bar,0.170,16.218,0.765,1121,-1.062
bar,0.195,17.240,0.715,1124,-1.062
bar,0.132,18.298,0.811,1062,-1.062
bar,0.125,19.213,0.673,1065,-1.062
bar,0.139,20.028,0.578,1070,-1.062
bar,0.131,20.937,0.677,1036,0.064
bar,0.132,21.836,0.669,1025,-1.062
bar,0.128,22.768,0.702,1032,-1.084
bar,0.137,23.730,0.729,1033,-0.659
bar,0.129,24.603,0.651,1040,2.441
bar,0.156,25.654,0.779,1090,-1.062
bar,0.127,26.615,0.725,1035,3.063
bar,0.133,27.526,0.673,1075,0.798
bar,0.142,28.500,0.727,1067,-1.072
bar,0.143,29.459,0.712,1040,nan
bar,0.140,30.491,0.791,1040,nan
bar,0.132,31.315,0.606,1029,13.906
bar,0.151,32.309,0.734,1036,7.855
bar,0.129,33.260,0.721,1087,-1.062
bar,0.140,34.184,0.674,1050,1.002
bar,0.135,35.181,0.781,1047,12.229
bar,0.170,36.219,0.755,1035,5.550
bar,0.144,37.060,0.609,1034,-1.062
bar,0.147,38.107,0.788,1065,3.065
bar,0.130,38.940,0.621,1067,5.129
bar,0.128,39.950,0.771,1027,5.113
bar,0.130,40.913,0.728,1057,11.634
bar,0.133,41.781,0.647,1040,nan
bar,0.136,42.769,0.755,1040,nan
bar,0.131,43.615,0.658,1040,nan
bar,0.139,44.660,0.792,1088,4.743
bar,0.157,45.684,0.760,1056,5.122
bar,0.128,46.528,0.634,1037,6.533
bar,0.139,47.514,0.744,1038,0.013
bar,0.143,48.481,0.721,1040,nan
bar,0.145,49.455,0.731,1040,nan
bar,0.146,50.436,0.725,1071,11.319
bar,0.157,51.384,0.704,1036,11.320
bar,0.128,52.435,0.804,1060,10.296
bar,0.129,53.378,0.714,1040,nan
bar,0.131,54.285,0.677,1029,6.531
bar,0.136,55.270,0.736,1040,nan
bar,0.128,56.209,0.703,1066,8.435
bar,0.145,57.108,0.664,1032,3.890
bar,0.132,58.009,0.664,1033,11.321
bar,0.132,59.031,0.783,1044,12.151
bar,0.132,59.910,0.656,1036,11.320
bar,0.133,60.843,0.693,1040,nan
bar,0.127,61.840,0.761,1059,6.396
bar,0.142,62.729,0.649,1035,5.128
bar,0.155,63.729,0.734,1067,11.323
bar,0.158,64.666,0.680,1048,12.147
bar,0.148,65.710,0.783,1065,8.435
bar,0.130,66.743,0.780,1048,12.147
bar,0.146,67.646,0.667,1032,12.899
bar,0.140,68.616,0.729,1064,11.306
bar,0.130,69.576,0.737,1035,5.550
bar,0.132,70.489,0.682,1045,12.150
bar,0.143,71.520,0.781,1079,11.733
bar,0.141,72.494,0.722,1071,11.319
bar,0.127,73.383,0.665,1043,8.849
bar,0.138,74.273,0.657,1036,11.320
bar,0.130,75.252,0.742,1040,nan
bar,0.141,76.220,0.757,1100,5.550
bar,0.141,77.287,0.805,1030,11.758
bar,0.131,78.134,0.632,1079,11.733
bar,0.131,79.045,0.681,1055,13.620
bar,0.131,80.050,0.765,1070,11.320
bar,0.156,81.063,0.755,1105,10.597
bar,0.135,82.045,0.743,1040,nan
bar,0.140,82.919,0.648,1040,nan
bar,0.136,83.962,0.791,1115,11.734
bar,0.131,84.866,0.669,1031,9.396
bar,0.128,85.795,0.701,1071,11.319
bar,0.141,86.789,0.756,1038,-1.063
bar,0.137,87.781,0.742,1053,12.207
bar,0.129,88.719,0.709,1035,5.550
bar,0.138,89.571,0.618,1026,8.844
bar,0.147,90.610,0.782,1070,11.320
bar,0.150,91.633,0.755,1048,12.147
bar,0.142,92.581,0.721,1131,8.435
bar,0.143,93.599,0.766,1044,13.151
bar,0.128,94.503,0.685,1040,nan
bar,0.128,95.431,0.700,1032,11.322
bar,0.137,96.353,0.676,1048,7.244
bar,0.133,97.289,0.700,1065,3.065
bar,0.132,98.242,0.715,1080,5.123
bar,0.147,99.253,0.755,1031,-0.251
bar,0.128,100.056,0.613,1049,12.456
bar,0.129,101.088,0.789,1086,8.860
bar,0.126,102.095,0.769,1048,12.147
bar,0.137,103.060,0.727,1048,12.147
bar,0.138,103.986,0.683,1040,7.190
bar,0.130,104.848,0.645,1071,11.319
bar,0.128,105.878,0.785,1068,5.129
bar,0.149,106.893,0.749,1034,-1.062
bar,0.126,107.712,0.605,1046,11.153
bar,0.144,108.749,0.776,1084,3.132
bar,0.134,109.689,0.697,1071,11.319
bar,0.125,110.701,0.774,1076,7.468
bar,0.128,111.670,0.732,1040,nan
bar,0.144,112.578,0.676,1040,nan
bar,0.141,113.529,0.705,1028,7.194
bar,0.142,114.466,0.688,1074,4.055
bar,0.131,115.445,0.740,1038,-1.064
bar,0.127,116.490,0.810,1053,12.149
bar,0.128,117.396,0.684,1048,12.147
bar,0.133,118.391,0.760,1048,12.147
bar,0.132,119.331,0.706,1080,9.973
bar,0.130,120.270,0.718,1040,nan
bar,0.151,121.316,0.784,1078,11.734
bar,0.122,122.159,0.635,1048,12.147
bar,0.135,123.076,0.676,1079,11.733
bar,0.124,124.062,0.755,1070,11.320
bar,0.129,125.020,0.738,1059,6.396
bar,0.142,126.026,0.768,1045,12.150
bar,0.127,126.942,0.685,1071,11.319
bar,0.141,127.929,0.739,1079,11.733
bar,0.137,128.934,0.762,1060,5.248
bar,0.144,129.917,0.726,1048,12.147
bar,0.127,130.890,0.740,1045,5.543
bar,0.125,131.800,0.696,1040,nan
bar,0.136,132.710,0.689,1071,9.673
bar,0.131,133.660,0.712,1057,14.158
bar,0.133,134.697,0.794,1075,1.120
bar,0.132,135.622,0.700,1062,2.033
bar,0.130,136.610,0.737,1061,5.270
bar,0.140,137.540,0.688,1040,nan
bar,0.139,138.412,0.642,1033,11.321
bar,0.138,139.465,0.803,1132,3.203
bar,0.137,140.424,0.730,1037,-1.062
bar,0.130,141.444,0.782,1067,9.272
bar,0.133,142.381,0.703,1035,11.320
bar,0.153,143.409,0.758,1048,12.147
bar,0.139,144.194,0.559,1040,nan
bar,0.135,145.233,0.776,1059,9.878
bar,0.130,146.273,0.791,1071,11.319
bar,0.146,147.152,0.645,1040,nan
bar,0.129,148.080,0.702,1079,11.733
bar,0.141,149.019,0.698,1048,12.147
bar,0.148,150.064,0.780,1089,9.293
bar,0.152,151.101,0.772,1068,11.771
bar,0.131,152.005,0.677,1056,12.147
bar,0.141,152.846,0.616,1035,5.550
bar,0.135,153.817,0.725,1066,5.130
bar,0.130,154.840,0.771,1032,7.193
bar,0.129,155.744,0.676,1042,3.341
bar,0.130,156.646,0.677,1033,11.321
bar,0.154,157.700,0.818,1102,11.319
bar,0.125,158.637,0.717,1037,2.949
bar,0.147,159.648,0.765,1040,nan
bar,0.144,160.476,0.594,1048,12.147
bar,0.167,161.543,0.790,1094,9.397
bar,0.141,162.616,0.828,1136,11.319
bar,0.147,163.612,0.744,1108,11.596
bar,0.131,164.651,0.793,1135,11.320
bar,0.130,165.626,0.758,1035,5.550
bar,0.157,166.545,0.667,1102,11.319
bar,0.144,167.582,0.780,1040,nan
bar,0.150,168.484,0.660,1041,5.697
bar,0.134,169.481,0.749,1025,6.783
bar,0.138,170.476,0.747,1070,11.320
bar,0.134,171.496,0.767,1040,nan
bar,0.137,172.530,0.778,1040,nan
bar,0.141,173.396,0.631,1056,12.147
bar,0.161,174.422,0.755,1098,11.321
bar,0.171,175.508,0.804,1043,5.544
bar,0.151,176.614,0.852,1038,4.723
bar,0.175,177.699,0.812,1036,1.580
bar,0.135,178.662,0.738,1086,-0.842
bar,0.138,179.622,0.727,1078,1.414
bar,0.140,180.679,0.798,1140,-0.994
bar,0.136,181.594,0.678,1032,11.322
bar,0.149,182.583,0.722,1037,-1.062
bar,0.130,183.606,0.780,1040,nan
bar,0.151,184.612,0.746,1097,2.244
bar,0.143,185.651,0.786,1039,4.197
bar,0.130,186.454,0.588,1025,-1.062
bar,0.141,187.426,0.720,1057,2.137
bar,0.146,188.475,0.784,1068,0.267
bar,0.149,189.410,0.687,1037,-0.693
bar,0.145,190.434,0.757,1036,0.182
bar,0.130,191.343,0.687,1028,-1.062
bar,0.129,192.284,0.709,1031,-1.062
bar,0.139,193.310,0.769,1028,-1.062
bar,0.146,194.279,0.729,1038,-0.790
bar,0.136,195.210,0.691,1058,1.414
bar,0.144,196.135,0.676,1030,0.825
bar,0.142,197.231,0.832,1075,1.470
bar,0.154,198.210,0.712,1104,-0.230
bar,0.143,199.182,0.722,1050,-1.062
bar,0.134,200.141,0.717,1050,-1.062
bar,0.132,201.063,0.689,1055,-1.062
bar,0.135,202.056,0.745,1068,-1.062
bar,0.133,203.056,0.746,1077,-1.062
bar,0.126,203.993,0.722,1071,-0.659
bar,0.139,204.992,0.742,1085,-1.062
bar,0.130,205.998,0.767,1040,1.438
bar,0.145,207.081,0.835,1083,4.053
bar,0.158,207.957,0.653,1038,-0.193
