Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
bar,0.367,2.352,1.189,1064,-1.062
bar,0.373,3.536,0.699,1146,-1.062
bar,0.353,4.745,0.741,1112,-1.072
bar,0.339,5.904,0.704,1100,5.550
bar,0.375,7.127,0.731,1167,-1.062
bar,0.380,8.317,0.701,1170,nan
bar,0.356,9.511,0.729,1097,9.017
bar,0.342,10.687,0.725,1044,0.457
bar,0.319,11.661,0.556,1042,2.239
bar,0.332,12.811,0.707,1040,nan
bar,0.320,13.968,0.732,1026,6.130
bar,0.349,15.039,0.626,1084,-0.499
bar,0.336,16.170,0.682,1067,11.323
bar,0.319,17.139,0.559,1040,nan
bar,0.352,18.359,0.751,1087,6.226
bar,0.330,19.393,0.622,1043,3.341
bar,0.331,20.512,0.703,1071,11.319
bar,0.339,21.641,0.696,1074,7.382
bar,0.329,22.753,0.666,1056,2.035
bar,0.324,23.830,0.647,1054,2.737
bar,0.357,24.915,0.631,1059,1.414
bar,0.356,26.074,0.691,1053,0.707
bar,0.323,27.123,0.622,1048,1.137
bar,0.331,28.102,0.561,1046,0.906
bar,0.372,29.255,0.669,1084,-1.062
bar,0.335,30.388,0.681,1037,-1.062
bar,0.332,31.486,0.656,1047,12.148
bar,0.343,32.533,0.610,1040,nan
bar,0.319,33.496,0.559,1040,nan
bar,0.330,34.618,0.691,1048,7.078
bar,0.348,35.779,0.700,1055,1.002
bar,0.336,36.756,0.562,1047,1.404
bar,0.333,37.877,0.676,1064,5.131
bar,0.352,39.037,0.711,1085,0.435
bar,0.327,40.174,0.698,1055,-1.083
bar,0.320,41.193,0.605,1037,-1.062
bar,0.319,42.174,0.577,1036,3.772
bar,0.342,43.260,0.633,1065,0.707
bar,0.339,44.379,0.664,1085,-0.288
bar,0.337,45.470,0.649,1053,-1.062
bar,0.339,46.523,0.614,1059,-1.062
bar,0.351,47.633,0.646,1124,-1.062
bar,0.356,48.794,0.693,1130,-1.062
bar,0.339,49.930,0.681,1074,-1.062
bar,0.346,51.028,0.646,1088,-1.062
bar,0.340,52.119,0.647,1058,2.162
bar,0.322,53.173,0.629,1040,nan
bar,0.338,54.325,0.700,1062,5.269
bar,0.322,55.390,0.641,1034,-1.062
bar,0.325,56.474,0.648,1086,3.066
bar,0.338,57.454,0.575,1040,nan
bar,0.323,58.528,0.655,1049,-0.269
bar,0.327,59.649,0.681,1030,1.620
bar,0.342,60.657,0.576,1039,6.597
bar,0.327,61.727,0.649,1040,nan
bar,0.337,62.792,0.627,1062,8.437
bar,0.347,63.940,0.684,1040,nan
bar,0.339,64.914,0.547,1071,6.302
bar,0.332,66.032,0.679,1040,nan
bar,0.380,67.227,0.704,1117,4.245
bar,0.336,68.401,0.728,1055,2.382
bar,0.336,69.415,0.589,1059,3.067
bar,0.350,70.515,0.653,1040,nan
bar,0.335,71.559,0.614,1040,nan
bar,0.362,72.729,0.699,1105,nan
bar,0.332,73.871,0.708,1035,5.550
bar,0.356,74.907,0.577,1144,11.733
bar,0.330,76.017,0.689,1040,1.118
bar,0.334,77.135,0.690,1052,12.168
bar,0.321,78.261,0.698,1035,5.550
bar,0.321,79.250,0.577,1030,-1.225
bar,0.323,80.315,0.648,1035,10.355
bar,0.322,81.388,0.651,1040,nan
bar,0.326,82.503,0.670,1029,7.077
bar,0.330,83.660,0.718,1048,12.147
bar,0.324,84.581,0.524,1048,12.147
bar,0.328,85.586,0.600,1035,5.550
bar,0.331,86.721,0.695,1071,11.319
bar,0.326,87.848,0.690,1040,nan
