Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
bar,0.013,25.532,0.090,65,nan
bar,0.009,25.561,0.017,65,nan
bar,0.013,25.626,0.045,65,nan
bar,0.016,25.717,0.064,124,-1.062
bar,0.008,25.832,0.092,65,nan
bar,0.025,25.917,0.053,130,nan
bar,0.014,26.009,0.067,65,nan
bar,0.012,26.148,0.107,120,1.750
bar,0.010,26.216,0.049,65,nan
bar,0.016,26.318,0.073,127,-1.062
bar,0.010,26.442,0.099,65,nan
bar,0.022,26.518,0.047,130,nan
bar,0.010,26.601,0.060,65,nan
bar,0.009,26.638,0.022,65,nan
bar,0.009,26.747,0.088,65,nan
bar,0.012,26.812,0.046,65,nan
bar,0.011,26.894,0.060,65,nan
bar,0.017,26.920,0.008,65,nan
bar,0.012,27.035,0.090,65,nan
bar,0.021,27.104,0.038,130,nan
bar,0.013,27.202,0.075,65,nan
bar,0.013,27.242,0.024,65,nan
bar,0.011,27.336,0.070,65,nan
bar,0.014,27.402,0.044,65,nan
bar,0.011,27.497,0.071,65,nan
bar,0.011,27.515,0.006,65,nan
bar,0.011,27.622,0.081,65,nan
bar,0.025,27.706,0.051,130,nan
bar,0.010,27.788,0.060,65,nan
bar,0.011,27.833,0.030,65,nan
bar,0.009,27.931,0.075,65,nan
bar,0.014,28.080,0.116,124,5.551
bar,0.010,28.098,0.006,65,nan
bar,0.015,28.232,0.106,65,nan
bar,0.023,28.330,0.065,130,nan
bar,0.011,28.421,0.066,65,nan
bar,0.011,28.468,0.032,65,nan
bar,0.011,28.569,0.076,65,nan
bar,0.011,28.594,0.013,65,nan
bar,0.011,28.722,0.106,65,nan
bar,0.012,28.744,0.009,65,nan
bar,0.010,28.856,0.095,65,nan
bar,0.021,28.934,0.051,130,nan
bar,0.010,29.011,0.059,65,nan
bar,0.015,29.054,0.027,65,nan
bar,0.011,29.157,0.083,65,nan
bar,0.013,29.184,0.011,65,nan
bar,0.011,29.300,0.093,65,nan
bar,0.010,29.317,0.007,65,nan
bar,0.013,29.435,0.099,65,nan
bar,0.020,29.510,0.048,130,nan
bar,0.013,29.596,0.063,65,nan
bar,0.009,29.632,0.023,65,nan
bar,0.009,29.731,0.081,65,nan
bar,0.012,29.758,0.013,65,nan
bar,0.012,29.886,0.103,65,nan
bar,0.010,29.904,0.007,65,nan
bar,0.013,30.025,0.098,65,nan
bar,0.026,30.104,0.048,130,nan
bar,0.011,30.190,0.067,65,nan
bar,0.011,30.226,0.022,65,nan
bar,0.013,30.315,0.065,65,nan
bar,0.013,30.346,0.018,65,nan
bar,0.014,30.473,0.101,96,11.319
bar,0.013,30.495,0.008,65,nan
bar,0.011,30.601,0.077,65,nan
bar,0.023,30.683,0.051,130,nan
bar,0.012,30.804,0.093,65,nan
bar,0.011,30.897,0.069,65,nan
bar,0.011,30.935,0.024,65,nan
bar,0.012,31.048,0.084,65,nan
bar,0.013,31.071,0.009,65,nan
bar,0.011,31.090,0.007,65,nan
bar,0.014,31.209,0.089,65,nan
bar,0.018,31.281,0.047,130,nan
bar,0.014,31.419,0.110,65,nan
bar,0.014,31.523,0.077,65,nan
bar,0.011,31.549,0.013,65,nan
bar,0.009,31.661,0.088,65,nan
bar,0.011,31.685,0.012,65,nan
bar,0.014,31.706,0.006,65,nan
bar,0.011,31.818,0.086,65,nan
bar,0.018,31.896,0.052,130,nan
bar,0.010,32.002,0.079,65,nan
bar,0.012,32.117,0.089,125,5.550
bar,0.011,32.248,0.103,65,nan
bar,0.012,32.268,0.007,65,nan
bar,0.013,32.289,0.008,65,nan
bar,0.013,32.409,0.092,65,nan
bar,0.018,32.483,0.049,130,nan
bar,0.010,32.592,0.082,94,11.321
bar,0.012,32.701,0.085,127,-1.062
bar,0.013,32.833,0.101,65,nan
bar,0.013,32.859,0.012,65,nan
bar,0.012,32.975,0.089,65,nan
bar,0.023,33.045,0.038,130,nan
bar,0.010,33.118,0.055,71,12.149
bar,0.012,33.175,0.039,65,nan
bar,0.012,33.252,0.054,65,nan
bar,0.011,33.289,0.021,65,nan
bar,0.013,33.425,0.102,72,-1.072
bar,0.011,33.461,0.023,65,nan
bar,0.012,33.578,0.087,65,nan
bar,0.010,33.641,0.044,65,nan
bar,0.012,33.707,0.045,65,nan
bar,0.011,33.725,0.006,65,nan
bar,0.011,33.782,0.039,65,nan
bar,0.013,33.882,0.073,65,nan
bar,0.013,34.009,0.093,127,-1.062
bar,0.011,34.035,0.013,65,nan
bar,0.008,34.158,0.103,65,nan
bar,0.013,34.223,0.046,65,nan
bar,0.011,34.291,0.048,65,nan
bar,0.013,34.313,0.008,65,nan
bar,0.012,34.369,0.039,65,nan
bar,0.018,34.483,0.079,127,-1.062
bar,0.014,34.644,0.128,65,nan
bar,0.012,34.672,0.014,65,nan
bar,0.011,34.797,0.095,65,nan
bar,0.012,34.864,0.048,65,nan
bar,0.013,34.933,0.048,121,16.034
bar,0.013,34.953,0.008,65,nan
bar,0.017,35.108,0.117,127,-1.062
bar,0.014,35.246,0.104,94,0.711
bar,0.015,35.275,0.011,65,nan
bar,0.014,35.406,0.102,65,nan
bar,0.010,35.474,0.048,65,nan
bar,0.013,35.526,0.032,65,nan
bar,0.010,35.547,0.009,65,nan
bar,0.019,35.713,0.129,127,-1.062
bar,0.013,35.813,0.073,122,15.903
bar,0.011,35.857,0.028,65,nan
bar,0.014,35.988,0.099,65,nan
bar,0.014,36.051,0.041,65,nan
bar,0.014,36.112,0.042,65,nan
bar,0.011,36.131,0.007,65,nan
bar,0.015,36.285,0.120,127,-1.062
bar,0.011,36.383,0.076,65,nan
bar,0.011,36.402,0.007,65,nan
bar,0.011,36.440,0.023,65,nan
bar,0.010,36.568,0.101,65,nan
bar,0.009,36.632,0.047,65,nan
bar,0.013,36.691,0.040,65,nan
bar,0.010,36.709,0.007,65,nan
bar,0.011,36.805,0.072,93,5.129
bar,0.010,36.880,0.056,65,nan
bar,0.016,36.980,0.074,65,nan
bar,0.013,37.004,0.009,65,nan
bar,0.011,37.164,0.127,65,nan
bar,0.011,37.229,0.047,65,nan
bar,0.014,37.293,0.044,127,-1.062
bar,0.014,37.316,0.008,65,nan
bar,0.015,37.480,0.128,127,-1.062
bar,0.011,37.572,0.068,65,nan
bar,0.009,37.596,0.014,65,nan
bar,0.013,37.764,0.135,65,nan
bar,0.016,37.842,0.057,65,nan
bar,0.012,37.895,0.038,65,nan
bar,0.020,37.928,0.013,130,nan
bar,0.012,38.000,0.056,65,nan
bar,0.011,38.084,0.066,65,nan
bar,0.010,38.172,0.068,65,nan
bar,0.013,38.192,0.007,65,nan
bar,0.013,38.354,0.134,65,nan
bar,0.010,38.428,0.057,70,12.565
bar,0.011,38.479,0.034,65,nan
bar,0.024,38.514,0.008,130,nan
bar,0.010,38.592,0.059,65,nan
bar,0.013,38.690,0.073,65,nan
bar,0.012,38.776,0.062,65,nan
bar,0.011,38.795,0.007,65,nan
bar,0.012,39.004,0.169,65,nan
bar,0.013,39.024,0.006,65,nan
bar,0.014,39.091,0.046,65,nan
bar,0.021,39.122,0.009,130,nan
bar,0.009,39.202,0.061,65,nan
bar,0.009,39.288,0.064,65,nan
