Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
bar,0.091,152.178,0.790,1035,5.550
bar,0.088,153.289,0.860,1064,5.131
bar,0.090,154.298,0.768,1056,11.269
bar,0.081,155.326,0.795,1040,nan
bar,0.084,156.361,0.806,1079,11.733
bar,0.079,157.449,0.846,1080,5.590
bar,0.109,158.621,0.889,1067,9.272
bar,0.085,159.704,0.843,1037,-1.062
bar,0.095,160.656,0.731,1071,8.028
bar,0.092,161.762,0.861,1042,3.341
bar,0.091,162.860,0.854,1066,8.435
bar,0.084,164.011,0.905,1048,12.147
bar,0.107,164.939,0.695,1040,nan
bar,0.096,166.075,0.877,1043,5.544
bar,0.095,167.140,0.810,1032,2.244
bar,0.089,168.188,0.803,1041,11.596
bar,0.102,169.310,0.854,1037,-1.062
bar,0.090,170.218,0.698,1048,12.147
bar,0.093,171.288,0.873,1032,10.029
bar,0.080,172.383,0.856,1048,12.147
bar,0.094,173.469,0.838,1081,11.965
bar,0.081,174.413,0.720,1030,7.193
bar,0.092,175.495,0.830,1071,11.319
bar,0.073,176.586,0.847,1055,9.375
bar,0.091,177.729,0.891,1068,5.129
bar,0.081,178.579,0.645,1040,nan
bar,0.094,179.684,0.853,1079,11.733
bar,0.100,180.729,0.800,1062,8.437
bar,0.087,181.796,0.820,1070,11.320
bar,0.088,182.850,0.810,1056,12.147
bar,0.088,183.984,0.870,1071,11.319
bar,0.084,184.988,0.768,1040,nan
bar,0.087,185.938,0.722,1061,15.061
bar,0.084,187.063,0.876,1132,9.272
bar,0.077,188.157,0.859,1040,nan
bar,0.081,189.107,0.770,1039,12.156
bar,0.086,190.048,0.723,1053,9.947
bar,0.094,191.123,0.817,1048,12.147
bar,0.092,192.259,0.879,1063,11.321
bar,0.098,193.259,0.750,1069,11.321
bar,0.090,194.308,0.807,1040,nan
bar,0.116,195.406,0.822,1070,11.320
bar,0.091,196.587,0.928,1056,9.678
bar,0.091,197.612,0.799,1037,11.319
bar,0.095,198.544,0.704,1067,11.323
bar,0.080,199.719,0.938,1079,11.733
bar,0.089,200.828,0.850,1052,5.468
bar,0.096,201.831,0.771,1036,11.320
bar,0.082,202.893,0.837,1137,5.127
bar,0.093,204.072,0.917,1136,11.319
bar,0.103,205.331,0.987,1142,11.734
bar,0.096,206.584,0.985,1140,11.735
bar,0.091,207.819,0.953,1150,-0.175
bar,0.107,208.912,0.827,1040,nan
bar,0.089,210.037,0.861,1051,10.014
bar,0.102,211.220,0.906,1048,12.147
bar,0.094,212.271,0.805,1034,13.939
bar,0.093,213.421,0.881,1071,11.319
bar,0.099,214.568,0.885,1035,5.550
bar,0.099,215.797,0.956,1040,nan
bar,0.081,216.931,0.926,1070,11.320
bar,0.093,217.874,0.719,1040,nan
bar,0.089,219.047,0.895,1067,6.688
bar,0.091,220.217,0.897,1030,12.812
bar,0.091,221.359,0.872,1044,5.543
bar,0.088,222.457,0.848,1048,12.147
bar,0.096,223.531,0.823,1065,8.435
bar,0.099,224.642,0.842,1040,nan
bar,0.091,225.880,0.955,1070,11.320
bar,0.095,227.113,0.954,1043,11.596
bar,0.093,228.141,0.793,1071,11.319
bar,0.109,229.369,0.936,1075,10.230
bar,0.080,230.542,0.914,1070,11.320
bar,0.087,231.721,0.921,1040,nan
bar,0.093,232.841,0.865,1040,nan
bar,0.079,233.739,0.691,1043,8.849
bar,0.092,234.961,0.947,1053,12.149
bar,0.091,236.147,0.915,1048,12.147
bar,0.083,237.248,0.856,1030,12.174
bar,0.121,238.323,0.815,1035,5.550
bar,0.098,239.485,0.916,1040,nan
bar,0.111,240.657,0.893,1040,nan
bar,0.101,241.801,0.873,1040,nan
bar,0.102,242.889,0.831,1048,12.147
bar,0.099,244.017,0.874,1046,10.832
bar,0.108,245.268,0.968,1082,12.199
bar,0.104,246.433,0.908,1048,12.147
bar,0.101,247.590,0.896,1040,nan
bar,0.110,248.668,0.818,1035,5.550
bar,0.098,249.852,0.919,1040,nan
bar,0.087,251.022,0.920,1071,11.319
bar,0.103,252.148,0.860,1026,11.941
bar,0.121,253.278,0.848,1040,nan
bar,0.093,254.522,0.974,1137,6.404
bar,0.098,255.774,1.012,1119,12.011
bar,0.090,257.031,1.039,1060,14.918
bar,0.103,258.111,0.824,1070,11.320
bar,0.091,259.399,1.000,1037,11.319
bar,0.086,260.648,0.976,1053,6.402
bar,0.105,261.674,0.780,1071,11.319
bar,0.109,262.890,0.936,1040,nan
bar,0.088,264.036,0.892,1049,11.734
bar,0.096,265.205,0.889,1070,11.320
bar,0.083,266.270,0.830,1036,5.417
bar,0.102,267.471,0.933,1067,9.272
bar,0.110,268.717,0.957,1034,-1.062
bar,0.091,269.812,0.843,1064,5.131
bar,0.101,271.021,0.930,1032,7.193
bar,0.107,272.286,0.968,1084,6.985
bar,0.104,273.608,1.021,1071,11.319
bar,0.098,274.695,0.821,1048,12.147
bar,0.103,275.652,0.749,1040,nan
bar,0.094,276.868,0.960,1035,5.550
bar,0.099,278.092,0.954,1045,11.595
bar,0.102,279.123,0.788,1046,11.595
bar,0.092,280.377,0.970,1040,nan
bar,0.097,281.616,0.961,1075,9.672
bar,0.097,282.742,0.869,1044,-0.329
