Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
bar,0.199,2.424,1.335,1064,-1.062
bar,0.137,3.432,0.750,1059,-1.062
bar,0.161,4.430,0.718,1068,-1.062
bar,0.149,5.450,0.745,1067,-0.461
bar,0.173,6.606,0.861,1148,-1.061
bar,0.160,7.656,0.772,1148,-1.061
bar,0.162,8.633,0.689,1056,1.001
bar,0.144,9.615,0.718,1048,1.312
bar,0.172,10.644,0.740,1146,-1.063
bar,0.149,11.651,0.739,1139,1.469
bar,0.151,12.702,0.771,1072,-1.062
bar,0.145,13.691,0.721,1084,-1.062
bar,0.153,14.689,0.724,1080,-0.942
bar,0.150,15.679,0.726,1071,-1.062
bar,0.147,16.637,0.690,1076,-1.062
bar,0.146,17.608,0.701,1055,-1.032
bar,0.175,18.584,0.687,1033,-0.030
bar,0.146,19.592,0.741,1067,-0.181
bar,0.147,20.475,0.628,1049,-0.931
bar,0.140,21.428,0.702,1050,-1.062
bar,0.140,22.397,0.706,1050,-1.062
bar,0.144,23.323,0.663,1050,-1.062
bar,0.140,24.163,0.592,1050,-1.062
bar,0.145,25.168,0.728,1050,-1.062
bar,0.151,26.147,0.698,1050,-1.062
bar,0.144,27.082,0.667,1050,-1.062
bar,0.138,27.988,0.647,1050,-1.062
bar,0.147,28.993,0.740,1050,-1.062
bar,0.140,29.897,0.652,1050,-1.062
bar,0.140,30.810,0.653,1050,-1.062
bar,0.147,31.775,0.701,1050,-1.062
bar,0.141,32.655,0.632,1052,-1.062
bar,0.138,33.593,0.686,1053,-1.062
bar,0.156,34.603,0.744,1056,-1.062
bar,0.137,35.560,0.706,1056,-1.062
bar,0.141,36.550,0.730,1056,-1.062
bar,0.143,37.471,0.670,1062,-1.062
bar,0.139,38.409,0.682,1044,-1.007
bar,0.150,39.361,0.684,1056,-1.062
bar,0.142,40.268,0.658,1067,-0.181
bar,0.156,41.261,0.713,1068,-1.062
bar,0.141,42.236,0.722,1082,-1.062
bar,0.165,43.209,0.683,1040,nan
bar,0.175,44.324,0.810,1088,3.692
bar,0.150,45.219,0.649,1056,2.667
bar,0.146,46.234,0.753,1034,-1.062
bar,0.149,47.151,0.664,1034,7.192
bar,0.141,48.100,0.703,1038,7.191
