Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
bar,0.176,2.280,1.324,1139,-1.062
bar,0.155,3.396,0.834,1107,-1.065
bar,0.155,4.507,0.828,1052,-1.117
bar,0.143,5.634,0.858,1035,-0.903
bar,0.146,6.703,0.799,1066,-0.775
bar,0.135,7.590,0.654,1077,1.189
bar,0.146,8.672,0.808,1128,0.589
bar,0.148,9.749,0.802,1121,-1.021
bar,0.153,10.823,0.807,1172,-1.062
bar,0.162,11.860,0.753,1112,-1.062
bar,0.148,12.926,0.791,1112,-1.062
bar,0.151,13.966,0.764,1112,-1.062
bar,0.150,14.999,0.766,1112,-1.062
bar,0.167,16.090,0.792,1112,-1.062
bar,0.140,17.109,0.752,1112,-1.062
bar,0.142,18.255,0.879,1112,-1.062
bar,0.154,19.314,0.779,1112,-1.062
bar,0.141,20.348,0.769,1112,-1.062
bar,0.152,21.459,0.835,1112,-1.062
bar,0.139,22.505,0.784,1050,-1.062
bar,0.154,23.562,0.778,1122,-1.062
bar,0.168,24.650,0.795,1118,-1.062
bar,0.151,25.751,0.829,1118,-1.062
bar,0.160,26.865,0.831,1124,-1.062
bar,0.163,27.967,0.821,1119,-1.062
bar,0.147,29.030,0.788,1127,-1.062
bar,0.152,30.130,0.824,1148,0.139
bar,0.153,31.194,0.788,1069,-1.062
bar,0.148,32.301,0.839,1097,-0.178
bar,0.145,33.353,0.782,1128,-1.062
bar,0.185,34.466,0.806,1128,-1.062
bar,0.150,35.516,0.784,1150,-0.288
bar,0.163,36.555,0.751,1122,-0.554
bar,0.147,37.595,0.769,1112,-1.062
bar,0.149,38.633,0.766,1112,-1.062
bar,0.170,39.682,0.751,1112,-1.062
bar,0.147,40.748,0.807,1112,-1.062
bar,0.152,41.787,0.767,1112,-1.062
bar,0.141,42.838,0.776,1112,-1.062
bar,0.147,43.894,0.788,1112,-1.062
bar,0.162,44.960,0.783,1112,-1.062
bar,0.172,46.040,0.775,1172,-1.062
bar,0.158,47.073,0.765,1112,-1.062
bar,0.146,48.106,0.764,1112,-1.062
bar,0.173,49.177,0.772,1112,-1.062
bar,0.149,50.186,0.725,1112,-1.062
bar,0.164,51.236,0.754,1112,-1.062
bar,0.152,52.298,0.786,1112,-1.062
bar,0.143,53.356,0.786,1112,-1.062
bar,0.142,54.394,0.773,1112,-1.062
bar,0.143,55.451,0.784,1112,-1.062
bar,0.166,56.527,0.786,1112,-1.062
bar,0.155,57.583,0.775,1112,-1.062
bar,0.163,58.652,0.791,1112,-1.062
bar,0.145,59.697,0.780,1112,-1.062
bar,0.143,60.743,0.777,1112,-1.062
bar,0.157,61.813,0.783,1172,-1.062
