Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
bar,0.104,1.883,0.910,439,-1.063
bar,0.072,2.429,0.418,562,-1.062
bar,0.077,2.977,0.413,438,-1.062
bar,0.042,3.082,0.054,260,nan
bar,0.038,3.497,0.334,308,-1.062
bar,0.035,3.591,0.051,260,nan
bar,0.036,4.015,0.348,308,-1.062
bar,0.034,4.137,0.078,260,nan
bar,0.040,4.541,0.323,311,-1.062
bar,0.035,4.640,0.056,260,nan
bar,0.031,5.008,0.302,282,-1.071
bar,0.032,5.148,0.099,260,nan
bar,0.045,5.535,0.303,316,-1.062
bar,0.035,5.669,0.091,260,nan
bar,0.042,6.073,0.325,316,-1.062
bar,0.037,6.207,0.087,260,nan
bar,0.033,6.569,0.288,316,-1.062
bar,0.035,6.691,0.077,260,nan
bar,0.048,7.072,0.299,317,5.128
bar,0.036,7.322,0.190,257,-1.062
bar,0.032,7.579,0.202,319,-1.062
bar,0.031,7.839,0.205,260,nan
bar,0.033,8.075,0.183,291,11.319
bar,0.032,8.347,0.215,260,nan
bar,0.035,8.576,0.172,260,nan
bar,0.037,8.756,0.128,260,nan
bar,0.037,9.031,0.216,260,nan
bar,0.045,9.239,0.149,260,nan
bar,0.032,9.597,0.290,268,12.147
bar,0.038,9.745,0.105,260,nan
bar,0.032,10.120,0.314,308,3.304
bar,0.033,10.314,0.144,260,nan
bar,0.038,10.641,0.255,314,-1.061
bar,0.033,10.826,0.133,260,nan
bar,0.039,11.159,0.262,314,-1.061
bar,0.032,11.369,0.165,260,nan
bar,0.038,11.600,0.171,271,1.425
bar,0.030,11.906,0.243,260,nan
bar,0.038,12.035,0.080,257,2.241
bar,0.034,12.290,0.199,260,nan
bar,0.036,12.589,0.233,319,-1.062
bar,0.032,12.829,0.188,260,nan
bar,0.036,13.067,0.178,281,6.367
bar,0.038,13.426,0.286,257,-1.062
bar,0.035,13.575,0.107,305,-0.875
bar,0.036,13.968,0.321,272,3.048
bar,0.035,14.066,0.058,313,-1.062
bar,0.051,14.518,0.360,437,-1.062
bar,0.035,14.870,0.279,316,-1.062
bar,0.034,15.003,0.088,316,-1.062
bar,0.038,15.398,0.318,316,-1.062
bar,0.044,15.532,0.080,316,-1.062
bar,0.039,15.935,0.329,257,-1.062
bar,0.043,16.073,0.087,319,-1.062
bar,0.032,16.436,0.294,257,-1.062
bar,0.038,16.594,0.106,319,-1.062
bar,0.034,16.955,0.287,276,2.667
bar,0.034,17.111,0.109,319,-1.062
bar,0.033,17.490,0.305,316,-1.062
bar,0.033,17.627,0.089,257,-1.062
bar,0.035,17.979,0.288,316,-1.062
bar,0.038,18.143,0.114,257,-1.062
bar,0.034,18.475,0.265,264,-0.881
bar,0.044,18.640,0.107,257,-1.062
bar,0.035,19.007,0.292,318,1.580
bar,0.033,19.177,0.126,257,-1.062
bar,0.033,19.503,0.256,308,-1.062
bar,0.044,19.688,0.124,317,-1.061
bar,0.033,19.992,0.234,310,3.065
bar,0.035,20.299,0.243,311,-1.062
bar,0.032,20.490,0.137,310,-1.062
bar,0.048,20.863,0.292,373,-1.062
bar,0.036,21.063,0.145,311,-1.062
bar,0.035,21.386,0.256,310,-1.062
bar,0.035,21.665,0.219,311,-1.062
bar,0.034,21.934,0.208,310,-1.062
bar,0.041,22.246,0.238,311,-1.062
bar,0.040,22.475,0.166,310,-1.062
bar,0.050,22.897,0.324,373,-1.062
bar,0.048,23.163,0.191,311,-1.062
bar,0.044,23.504,0.257,310,-1.062
bar,0.040,23.797,0.219,311,-1.062
bar,0.041,24.074,0.211,310,-1.062
bar,0.035,24.426,0.278,311,-1.062
bar,0.038,24.617,0.134,308,-1.062
bar,0.050,25.007,0.302,375,-1.062
bar,0.039,25.307,0.236,311,-1.062
bar,0.039,25.545,0.171,310,-1.062
bar,0.036,25.810,0.206,311,-1.062
bar,0.035,26.025,0.159,308,-1.062
bar,0.033,26.341,0.249,313,-1.062
bar,0.032,26.522,0.136,308,-1.062
bar,0.043,26.908,0.305,375,-1.062
bar,0.035,27.202,0.228,308,-1.062
bar,0.042,27.391,0.132,323,-0.751
bar,0.035,27.785,0.320,310,-1.062
bar,0.032,27.931,0.106,308,-1.062
bar,0.041,28.337,0.322,310,-1.062
bar,0.034,28.478,0.095,308,-1.062
bar,0.032,28.816,0.276,308,-1.062
bar,0.032,28.982,0.122,310,-1.062
bar,0.044,29.340,0.283,370,-1.062
bar,0.034,29.708,0.312,310,-1.062
bar,0.034,29.857,0.101,308,-1.062
bar,0.037,30.198,0.271,308,-1.062
bar,0.040,30.386,0.128,310,-1.062
bar,0.033,30.709,0.255,308,-1.062
bar,0.034,30.879,0.123,310,-1.062
bar,0.048,31.237,0.268,370,-1.062
bar,0.034,31.619,0.307,308,-1.062
bar,0.039,31.813,0.137,310,-1.062
bar,0.037,32.138,0.257,308,-1.062
bar,0.033,32.307,0.120,310,-1.062
bar,0.032,32.639,0.268,308,-1.062
bar,0.030,32.799,0.116,310,-1.062
bar,0.042,33.149,0.275,370,-1.062
bar,0.041,33.449,0.227,308,-1.062
bar,0.037,33.666,0.154,310,-1.062
bar,0.033,33.993,0.263,308,-1.062
bar,0.035,34.174,0.132,310,-1.062
bar,0.032,34.519,0.271,308,-1.062
bar,0.035,34.679,0.113,310,-1.062
bar,0.041,35.020,0.270,370,-1.062
bar,0.031,35.317,0.235,308,-1.062
bar,0.038,35.534,0.159,310,-1.062
bar,0.038,35.875,0.267,308,-1.062
bar,0.033,36.041,0.117,310,-1.062
bar,0.036,36.372,0.260,308,-1.062
bar,0.035,36.524,0.103,310,-1.062
bar,0.041,36.854,0.258,370,-1.062
bar,0.035,37.148,0.232,308,-1.062
bar,0.035,37.364,0.162,310,-1.062
bar,0.037,37.722,0.287,308,-1.062
bar,0.036,37.905,0.137,310,-1.062
bar,0.033,38.232,0.254,308,-1.062
bar,0.044,38.401,0.107,370,-1.062
bar,0.034,38.736,0.265,310,-1.062
bar,0.035,39.018,0.222,308,-1.062
bar,0.039,39.235,0.157,310,-1.062
bar,0.037,39.546,0.243,308,-1.062
bar,0.039,39.714,0.110,308,-1.062
bar,0.031,40.049,0.274,310,-1.062
bar,0.030,40.186,0.093,308,-1.062
bar,0.040,40.547,0.279,372,-1.062
bar,0.039,40.846,0.232,308,-1.062
bar,0.033,41.048,0.151,308,-1.062
bar,0.033,41.378,0.264,310,-1.062
bar,0.033,41.520,0.098,308,-1.062
bar,0.035,41.894,0.296,310,-1.062
bar,0.032,42.041,0.102,308,-1.062
bar,0.031,42.370,0.269,308,-1.062
bar,0.044,42.532,0.106,310,-1.062
bar,0.046,42.866,0.251,370,-1.062
bar,0.033,43.224,0.292,310,-1.062
bar,0.031,43.368,0.099,308,-1.062
bar,0.034,43.710,0.276,308,-1.062
bar,0.035,43.891,0.126,310,-1.062
bar,0.034,44.204,0.250,308,-1.062
bar,0.036,44.375,0.122,310,-1.062
bar,0.042,44.716,0.262,370,-1.062
bar,0.033,45.053,0.267,308,-1.062
bar,0.036,45.222,0.115,310,-1.062
bar,0.033,45.537,0.248,308,-1.062
bar,0.039,45.714,0.123,310,-1.062
bar,0.036,46.044,0.259,308,-1.062
bar,0.034,46.210,0.114,310,-1.062
