Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
bar,0.836,10.349,7.613,10295,1.595
bar,0.770,19.234,7.040,10293,2.704
bar,0.864,28.339,7.142,10246,2.139
bar,0.846,37.316,7.040,10260,2.469
bar,0.748,46.101,6.935,10270,1.161
bar,0.754,55.010,7.059,10247,2.292
bar,0.749,63.838,7.005,10266,4.019
bar,0.752,72.802,7.095,10304,0.905
bar,0.733,81.671,7.036,10292,1.488
bar,0.814,90.597,6.997,10256,1.741
bar,0.707,99.248,6.860,10303,1.561
bar,0.750,108.029,6.934,10283,2.652
bar,0.731,116.747,6.885,10249,0.524
bar,0.790,125.560,6.940,10268,3.860
bar,0.787,134.390,6.937,10301,2.393
bar,0.766,143.186,6.938,10242,2.585
bar,0.707,152.812,7.765,10262,0.454
bar,0.845,162.116,7.375,10247,1.825
bar,0.750,171.523,7.569,10281,2.829
bar,0.818,180.714,7.274,10273,1.632
bar,1.019,189.980,7.126,10293,1.458
bar,0.673,198.969,7.218,10303,1.744
bar,0.672,207.458,6.713,10282,3.098
bar,0.702,215.951,6.688,10313,1.641
bar,0.722,224.604,6.833,10312,3.435
bar,0.706,233.189,6.788,10305,3.693
bar,0.790,241.833,6.749,10286,1.386
bar,0.718,250.340,6.702,10304,2.344
bar,0.701,258.788,6.695,10261,5.974
bar,0.785,267.259,6.593,10268,0.698
bar,0.705,275.828,6.767,10273,1.971
bar,0.764,284.400,6.725,10304,2.885
bar,0.716,292.914,6.715,10262,3.567
bar,0.686,301.337,6.664,10302,2.767
bar,0.705,309.726,6.617,10295,2.724
bar,0.683,318.234,6.742,10250,1.926
bar,0.723,326.756,6.724,10261,2.153
bar,0.733,335.208,6.665,10268,3.606
bar,0.686,343.829,6.827,10271,0.921
bar,0.662,352.279,6.722,10264,3.163
bar,0.735,361.002,6.869,10291,1.877
bar,0.675,369.486,6.746,10275,2.241
bar,0.694,378.043,6.774,10297,2.573
bar,0.980,387.036,6.796,10263,1.971
bar,0.799,395.733,6.843,10261,2.702
bar,0.724,404.476,6.912,10294,1.657
bar,0.625,412.906,6.747,10249,3.270
bar,0.667,421.452,6.767,10270,1.635
bar,0.676,429.835,6.633,10300,1.563
bar,0.757,438.379,6.694,10243,0.566
bar,0.709,446.995,6.788,10281,2.250
bar,0.698,455.706,6.928,10241,2.748
bar,0.782,464.344,6.767,10253,3.682
bar,0.688,472.737,6.633,10302,1.705
bar,0.722,481.278,6.709,10262,2.205
bar,0.694,489.876,6.792,10250,2.913
bar,0.692,498.279,6.622,10241,1.355
bar,0.715,506.859,6.771,10285,1.929
bar,0.705,515.323,6.655,10253,1.988
bar,0.687,523.876,6.777,10245,1.745
bar,0.695,532.399,6.755,10246,3.553
