Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
bar,0.760,1292.484,6.931,10243,2.931
bar,0.712,1301.247,7.001,10280,2.616
bar,0.755,1310.013,7.025,10251,2.275
bar,0.712,1319.022,7.263,10273,1.949
bar,0.737,1327.683,6.902,10253,1.947
bar,0.756,1336.398,6.948,10249,1.743
bar,0.785,1345.132,6.909,10274,1.333
bar,0.754,1354.309,7.372,10245,0.886
bar,0.702,1362.926,6.916,10303,4.425
bar,0.756,1371.738,7.039,10341,1.983
bar,0.754,1380.500,6.981,10285,3.313
bar,0.720,1389.193,6.934,10279,2.164
bar,0.739,1398.241,7.288,10259,2.261
bar,0.766,1407.180,7.140,10295,2.610
bar,0.723,1415.954,7.003,10256,1.963
bar,0.758,1424.987,7.256,10271,1.607
bar,0.732,1434.013,7.235,10254,2.241
bar,0.725,1443.210,7.423,10297,2.857
bar,0.755,1452.089,7.084,10262,2.610
bar,0.758,1460.805,6.923,10262,2.426
bar,0.775,1469.614,7.019,10261,2.887
bar,0.752,1478.273,6.868,10302,1.489
bar,0.820,1487.102,6.986,10263,1.414
bar,0.776,1495.938,7.033,10287,2.383
bar,0.763,1504.910,7.161,10275,1.111
bar,0.756,1513.719,7.009,10294,2.515
bar,0.743,1522.465,6.966,10312,1.848
bar,0.789,1531.217,6.961,10272,1.434
bar,0.771,1540.336,7.292,10285,2.807
bar,0.777,1549.105,6.955,10243,2.644
bar,0.773,1557.776,6.872,10267,2.420
bar,0.823,1566.802,7.157,10296,1.403
bar,0.754,1575.627,6.928,10278,2.814
bar,0.749,1584.303,6.876,10354,1.834
bar,0.751,1593.265,7.140,10242,1.105
bar,0.718,1601.931,6.923,10263,3.180
bar,0.781,1610.639,6.882,10265,3.059
bar,0.739,1619.482,7.042,10298,2.208
bar,0.762,1628.131,6.884,10258,1.177
bar,0.754,1637.003,7.074,10324,2.962
bar,0.720,1645.613,6.877,10251,2.187
bar,0.750,1654.449,7.043,10338,3.678
bar,0.724,1663.515,7.341,10368,0.527
bar,0.779,1672.393,7.064,10298,1.786
bar,0.738,1681.137,6.985,10268,1.227
bar,0.691,1689.831,6.968,10298,1.705
bar,0.759,1698.507,6.927,10269,4.057
bar,0.842,1707.373,6.995,10287,2.114
bar,0.751,1716.083,6.947,10385,2.302
bar,0.737,1724.830,7.008,10295,1.481
bar,0.733,1733.681,7.099,10302,3.134
bar,0.733,1742.477,7.004,10297,0.955
bar,0.781,1751.230,6.941,10244,0.604
bar,0.747,1759.892,6.898,10242,1.182
bar,0.760,1768.850,7.159,10249,1.643
bar,0.737,1777.676,7.052,10293,2.805
bar,0.763,1786.424,6.984,10281,2.264
bar,0.765,1795.754,7.499,10275,2.238
bar,0.770,1804.445,6.920,10301,1.242
bar,0.701,1813.093,6.907,10281,1.684
bar,0.759,1821.770,6.876,10304,0.999
bar,0.699,1830.601,7.086,10300,1.879
bar,0.783,1839.774,7.381,10280,4.728
bar,0.739,1848.566,7.020,10257,1.324
bar,0.785,1857.241,6.862,10242,0.849
bar,0.712,1866.025,7.055,10288,0.688
bar,0.698,1874.584,6.848,10260,1.036
bar,0.810,1883.371,6.938,10257,2.859
bar,0.745,1892.134,6.959,10285,1.520
bar,0.717,1900.786,6.886,10245,2.660
bar,0.766,1909.596,7.009,10299,0.879
bar,0.735,1918.436,7.061,10302,2.782
bar,0.749,1927.140,6.940,10270,3.483
bar,0.755,1935.970,7.040,10300,2.103
bar,0.741,1944.703,6.961,10295,2.228
bar,0.788,1953.821,7.267,10274,3.222
bar,0.726,1962.571,6.909,10253,3.424
bar,0.742,1971.311,7.011,10260,1.542
bar,0.740,1980.041,6.964,10290,1.078
bar,0.704,1989.127,7.326,10274,0.820
bar,0.760,1997.946,6.996,10291,2.703
bar,0.795,2006.577,6.836,10264,2.222
bar,0.772,2015.301,6.946,10280,2.978
bar,0.728,2024.126,7.033,10273,1.618
bar,0.757,2032.962,7.037,10303,4.604
bar,0.738,2041.576,6.860,10277,1.997
bar,0.711,2050.498,7.150,10358,1.549
bar,0.745,2059.327,7.043,10289,1.787
bar,0.766,2068.115,6.966,10245,3.256
bar,0.744,2076.876,7.011,10277,2.296
bar,0.729,2086.303,7.662,10277,4.041
bar,0.668,2095.246,7.247,10270,1.433
bar,0.654,2103.793,6.886,10276,2.587
bar,0.622,2111.938,6.526,10249,1.107
bar,0.653,2120.178,6.581,10248,1.194
bar,0.676,2128.484,6.567,10283,1.198
bar,0.647,2136.674,6.535,10258,2.319
bar,0.725,2144.918,6.515,10300,2.480
bar,0.635,2153.780,7.205,10248,2.289
bar,0.653,2161.925,6.506,10243,3.775
bar,0.677,2170.225,6.603,10328,2.955
bar,0.658,2178.565,6.646,10289,2.266
bar,0.629,2186.948,6.758,10243,3.352
bar,0.649,2195.252,6.646,10280,1.030
bar,0.659,2203.376,6.466,10241,2.932
bar,0.678,2211.724,6.646,10290,4.558
bar,0.686,2219.989,6.553,10259,2.693
bar,0.658,2228.224,6.563,10335,1.914
bar,0.661,2236.536,6.632,10261,1.780
bar,0.638,2244.811,6.651,10264,2.837
bar,0.630,2252.980,6.582,10336,2.332
bar,0.647,2261.257,6.605,10270,1.869
bar,0.627,2271.071,8.207,10301,2.592
bar,0.660,2280.629,7.944,10280,3.283
bar,0.627,2290.246,7.975,10277,1.322
bar,0.659,2298.458,6.545,10259,1.583
bar,0.700,2306.756,6.589,10277,3.021
bar,0.620,2314.976,6.601,10259,0.970
bar,0.629,2323.178,6.579,10306,0.446
bar,0.651,2331.781,6.786,10286,1.050
bar,0.702,2340.208,6.680,10296,2.058
bar,0.634,2348.425,6.586,10244,1.669
bar,0.646,2356.725,6.651,10266,3.005
bar,0.673,2364.953,6.532,10253,2.390
bar,0.637,2373.153,6.528,10262,1.103
bar,0.659,2381.483,6.683,10291,1.200
bar,0.961,2390.380,6.928,10297,1.678
bar,0.689,2399.263,7.147,10337,2.509
bar,0.738,2407.977,6.985,10299,3.537
bar,0.649,2416.885,7.211,10280,0.369
bar,0.652,2425.466,6.889,10243,3.426
bar,0.648,2433.978,6.823,10256,1.476
bar,0.674,2442.485,6.831,10260,3.134
bar,0.639,2450.993,6.842,10261,2.047
bar,0.656,2459.504,6.796,10293,1.224
bar,0.715,2467.966,6.733,10265,3.561
bar,0.658,2476.547,6.905,10296,2.007
bar,0.700,2485.037,6.768,10299,4.391
bar,0.625,2493.534,6.843,10299,3.872
bar,0.677,2501.923,6.739,10255,3.368
bar,0.648,2510.458,6.818,10246,2.802
bar,0.691,2518.991,6.807,10294,3.321
bar,0.658,2527.525,6.857,10255,2.383
bar,0.686,2536.124,6.887,10285,3.824
bar,0.681,2544.619,6.781,10300,2.156
bar,0.648,2552.994,6.737,10275,2.392
bar,0.679,2561.554,6.841,10254,1.383
bar,0.689,2569.975,6.715,10302,4.578
bar,0.721,2578.642,6.882,10271,2.765
bar,0.751,2587.261,6.855,10359,1.839
bar,0.678,2595.772,6.791,10286,2.849
bar,0.623,2604.163,6.769,10280,2.411
bar,0.681,2612.703,6.818,10261,3.561
bar,0.638,2621.150,6.780,10272,2.711
bar,0.672,2629.648,6.763,10245,1.515
bar,0.686,2638.072,6.724,10269,1.044
bar,0.705,2646.435,6.712,10289,4.276
bar,0.715,2654.968,6.771,10258,1.836
bar,0.641,2663.324,6.714,10244,2.320
bar,0.659,2671.929,6.906,10283,1.442
bar,0.692,2680.365,6.753,10256,4.025
bar,0.686,2688.712,6.639,10269,1.128
bar,0.665,2697.231,6.809,10284,1.005
bar,0.693,2706.016,6.868,10295,2.384
bar,0.626,2714.336,6.682,10252,1.124
bar,0.654,2722.917,6.871,10255,2.167
bar,0.646,2731.327,6.724,10287,1.797
bar,0.731,2739.928,6.812,10352,1.122
bar,0.631,2748.543,6.938,10297,1.758
bar,0.684,2757.055,6.772,10246,0.957
bar,0.659,2765.552,6.782,10271,2.462
bar,0.639,2774.036,6.809,10275,1.512
bar,0.689,2782.445,6.713,10265,2.162
bar,0.658,2791.152,6.978,10367,2.178
bar,0.700,2799.657,6.762,10278,1.737
bar,0.656,2808.143,6.819,10245,2.707
bar,0.673,2816.615,6.746,10295,1.392
bar,0.620,2825.023,6.811,10303,3.251
bar,0.707,2833.581,6.791,10285,1.779
bar,0.621,2841.993,6.757,10298,1.508
bar,0.675,2850.468,6.749,10264,0.936
bar,0.688,2858.958,6.778,10300,3.252
bar,0.656,2867.217,6.634,10247,4.391
bar,0.747,2875.677,6.736,10252,3.422
bar,0.706,2884.101,6.701,10259,1.296
bar,0.660,2892.665,6.855,10293,2.265
bar,0.869,2901.574,7.029,10257,3.555
bar,0.744,2910.718,7.375,10295,2.983
bar,0.716,2919.299,6.865,10305,2.961
bar,0.683,2927.641,6.635,10294,2.994
bar,0.972,2936.207,6.691,10280,2.641
bar,0.679,2944.705,6.862,10286,1.285
bar,0.704,2953.238,6.829,10263,2.925
bar,0.689,2961.618,6.683,10279,2.447
bar,0.617,2969.849,6.613,10260,6.135
bar,0.647,2978.266,6.750,10261,1.392
bar,0.658,2986.643,6.671,10269,1.987
bar,0.607,2994.945,6.707,10296,2.015
bar,0.655,3003.339,6.736,10290,2.697
bar,0.678,3011.604,6.563,10251,1.948
bar,0.682,3019.942,6.675,10315,1.421
bar,0.649,3028.292,6.683,10304,3.860
bar,0.691,3036.600,6.600,10338,3.985
bar,0.644,3045.095,6.833,10272,3.974
bar,0.619,3053.332,6.619,10277,3.308
bar,0.622,3061.610,6.662,10269,2.250
bar,0.662,3070.191,6.722,10298,2.493
bar,0.623,3078.477,6.674,10263,3.560
bar,0.660,3086.917,6.755,10295,3.291
bar,0.592,3095.151,6.654,10242,0.929
bar,0.679,3103.517,6.658,10263,2.142
bar,0.680,3111.899,6.679,10267,1.195
bar,0.690,3120.336,6.725,10247,2.484
bar,0.632,3128.796,6.813,10248,1.870
bar,0.692,3137.138,6.654,10281,1.623
bar,0.670,3145.622,6.790,10300,2.377
bar,0.673,3154.062,6.757,10278,3.657
bar,0.639,3162.558,6.817,10271,1.903
bar,0.674,3170.993,6.738,10298,1.231
bar,0.687,3179.636,6.908,10268,3.289
bar,0.672,3188.048,6.718,10249,1.009
bar,0.713,3196.494,6.714,10251,4.093
bar,0.674,3204.931,6.735,10266,0.682
bar,0.689,3213.514,6.864,10282,4.868
bar,0.694,3222.012,6.797,10243,2.813
bar,0.685,3230.510,6.774,10284,3.796
bar,0.644,3239.008,6.802,10256,2.419
bar,0.739,3247.541,6.757,10283,2.389
bar,0.705,3256.076,6.794,10242,1.718
bar,0.691,3264.536,6.727,10272,5.796
bar,0.676,3273.085,6.831,10289,0.666
bar,0.678,3281.490,6.713,10252,2.993
bar,0.671,3290.066,6.875,10252,3.569
bar,0.689,3298.518,6.735,10304,1.062
bar,0.659,3307.047,6.826,10276,1.721
bar,0.715,3315.522,6.741,10246,2.976
bar,0.664,3323.989,6.769,10283,3.485
bar,0.653,3332.505,6.809,10281,3.112
bar,0.671,3340.975,6.785,10325,2.315
bar,0.702,3349.598,6.862,10284,2.524
bar,0.635,3358.127,6.841,10299,1.629
bar,0.670,3366.618,6.819,10289,1.596
bar,0.653,3375.227,6.890,10295,0.619
bar,0.732,3383.592,6.613,10260,1.717
