Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
bar,0.155,169.627,0.753,1079,6.905
bar,0.124,170.635,0.774,1071,3.202
bar,0.123,171.517,0.659,1048,5.879
bar,0.131,172.365,0.627,1067,11.323
bar,0.135,173.314,0.712,1040,nan
bar,0.135,174.300,0.739,1068,5.129
bar,0.134,175.246,0.708,1056,6.781
bar,0.133,176.157,0.675,1071,11.319
bar,0.126,177.085,0.702,1070,11.320
bar,0.154,177.999,0.682,1048,12.147
bar,0.158,179.032,0.798,1139,5.511
bar,0.139,180.075,0.790,1073,7.469
bar,0.159,181.226,0.871,1102,11.319
bar,0.135,182.323,0.856,1078,8.069
bar,0.146,183.185,0.625,1070,11.320
bar,0.137,184.182,0.753,1067,9.272
bar,0.151,185.245,0.791,1067,11.323
bar,0.153,186.255,0.752,1136,11.319
bar,0.141,187.256,0.749,1040,nan
bar,0.145,188.329,0.815,1075,10.341
bar,0.134,189.286,0.710,1040,nan
bar,0.143,190.333,0.795,1063,7.697
bar,0.141,191.260,0.692,1075,11.735
bar,0.126,192.209,0.723,1040,nan
bar,0.127,193.491,1.029,1059,6.396
bar,0.132,194.511,0.780,1068,5.129
bar,0.136,195.504,0.763,1069,12.141
bar,0.136,196.355,0.621,1040,nan
bar,0.136,197.336,0.739,1083,9.341
bar,0.128,198.252,0.678,1026,6.355
bar,0.132,199.267,0.779,1040,nan
bar,0.143,200.140,0.638,1040,nan
bar,0.149,201.053,0.669,1089,6.174
bar,0.127,202.033,0.744,1067,11.323
bar,0.128,202.997,0.731,1078,11.734
bar,0.127,203.912,0.689,1048,12.147
bar,0.133,204.812,0.669,1028,9.694
bar,0.129,205.666,0.632,1040,nan
bar,0.131,206.658,0.756,1071,11.319
bar,0.132,207.552,0.664,1087,11.871
bar,0.138,208.515,0.712,1070,11.320
bar,0.135,209.515,0.753,1064,9.273
bar,0.149,210.428,0.666,1048,12.147
bar,0.155,211.450,0.774,1039,5.546
bar,0.131,212.370,0.699,1071,11.319
bar,0.128,213.331,0.719,1071,11.319
bar,0.128,214.274,0.709,1029,9.955
bar,0.135,215.132,0.626,1121,12.147
bar,0.131,216.093,0.724,1040,nan
bar,0.126,217.093,0.758,1072,11.318
bar,0.138,217.983,0.647,1037,3.893
bar,0.124,218.977,0.753,1036,1.580
bar,0.132,219.813,0.615,1026,3.685
bar,0.147,220.778,0.716,1042,0.314
bar,0.134,221.693,0.677,1033,-0.980
bar,0.138,222.665,0.717,1088,-1.062
bar,0.139,223.681,0.759,1073,-0.786
bar,0.131,224.599,0.679,1076,1.013
bar,0.133,225.437,0.611,1034,-1.062
bar,0.142,226.385,0.699,1032,7.193
bar,0.124,227.392,0.791,1067,11.323
bar,0.131,228.355,0.721,1035,-1.060
bar,0.148,229.317,0.705,1072,5.336
bar,0.134,230.185,0.633,1081,1.125
bar,0.124,231.109,0.689,1030,5.129
bar,0.122,231.950,0.624,1045,5.543
bar,0.133,232.925,0.727,1040,nan
bar,0.165,233.900,0.711,1040,nan
bar,0.130,234.941,0.826,1060,4.942
bar,0.124,235.893,0.724,1032,-1.061
bar,0.132,236.810,0.678,1040,nan
bar,0.158,237.838,0.751,1070,12.255
bar,0.130,238.674,0.618,1043,8.849
bar,0.129,239.625,0.710,1040,nan
bar,0.149,240.627,0.743,1040,nan
bar,0.134,241.545,0.694,1026,11.740
bar,0.134,242.361,0.593,1037,-1.062
bar,0.130,243.314,0.729,1059,6.396
bar,0.135,244.279,0.724,1048,12.147
bar,0.138,245.265,0.736,1040,nan
bar,0.122,246.112,0.627,1048,12.147
bar,0.126,246.926,0.591,1036,11.320
bar,0.124,247.901,0.729,1029,9.955
bar,0.136,248.881,0.739,1105,nan
bar,0.133,249.791,0.671,1040,nan
bar,0.142,250.802,0.771,1066,13.194
bar,0.123,251.765,0.731,1071,11.319
bar,0.128,252.595,0.611,1070,11.320
bar,0.137,253.595,0.755,1037,10.503
bar,0.139,254.486,0.654,1040,nan
bar,0.124,255.516,0.791,1040,nan
bar,0.149,256.509,0.731,1065,8.435
bar,0.177,257.485,0.697,1081,-1.106
bar,0.150,258.460,0.710,1117,8.428
bar,0.153,259.779,1.052,1065,3.065
bar,0.135,260.769,0.748,1048,12.147
bar,0.137,261.637,0.629,1039,3.110
bar,0.121,262.572,0.708,1027,2.864
bar,0.150,263.386,0.577,1060,-1.150
bar,0.134,264.366,0.737,1040,nan
bar,0.132,265.295,0.699,1071,12.705
bar,0.134,266.167,0.641,1059,5.699
bar,0.181,267.215,0.762,1040,nan
bar,0.131,268.100,0.669,1037,11.319
bar,0.137,269.125,0.772,1071,11.319
bar,0.129,270.044,0.687,1040,nan
bar,0.133,270.901,0.636,1089,8.858
bar,0.138,271.811,0.674,1036,11.320
bar,0.138,272.767,0.714,1045,12.150
bar,0.145,273.697,0.680,1040,nan
bar,0.130,274.979,1.031,1048,12.147
bar,0.127,275.755,0.583,1033,-0.838
bar,0.132,276.714,0.714,1059,6.396
bar,0.132,277.715,0.753,1057,11.794
bar,0.147,278.651,0.682,1040,nan
bar,0.128,279.398,0.535,1040,8.850
bar,0.126,280.375,0.741,1040,nan
bar,0.136,281.343,0.718,1048,12.147
bar,0.132,282.187,0.614,1038,12.254
bar,0.136,283.132,0.703,1065,8.435
bar,0.140,284.092,0.728,1048,12.147
bar,0.146,285.037,0.700,1067,11.323
bar,0.137,285.904,0.633,1040,nan
bar,0.132,286.766,0.632,1040,nan
bar,0.147,287.777,0.756,1102,8.852
bar,0.138,288.765,0.738,1078,11.734
bar,0.131,289.631,0.642,1029,12.226
bar,0.143,290.607,0.722,1048,12.147
bar,0.130,291.566,0.728,1035,5.550
bar,0.131,292.394,0.599,1040,nan
bar,0.128,293.310,0.684,1071,11.319
bar,0.132,294.265,0.711,1070,11.320
bar,0.135,295.255,0.742,1064,11.207
bar,0.132,296.050,0.587,1040,nan
bar,0.132,296.987,0.700,1045,12.150
bar,0.152,298.047,0.789,1144,2.551
bar,0.139,299.044,0.742,1041,2.223
bar,0.135,299.898,0.629,1033,7.192
bar,0.144,300.796,0.654,1073,5.336
bar,0.125,301.795,0.753,1064,-0.515
bar,0.152,302.831,0.764,1100,5.550
bar,0.154,303.838,0.741,1117,5.442
bar,0.131,304.857,0.771,1063,2.033
bar,0.143,305.678,0.591,1084,3.066
bar,0.144,306.636,0.708,1086,-1.061
bar,0.136,307.568,0.693,1032,3.543
bar,0.148,308.504,0.686,1083,-1.061
bar,0.162,309.514,0.733,1055,1.415
bar,0.141,310.412,0.661,1028,-1.062
bar,0.150,311.427,0.745,1093,-1.062
bar,0.170,312.476,0.746,1043,1.471
bar,0.148,313.445,0.701,1073,5.336
bar,0.141,314.356,0.674,1081,2.523
bar,0.139,315.335,0.729,1087,-1.062
bar,0.147,316.308,0.718,1025,-1.062
bar,0.138,317.468,0.922,1030,-0.994
bar,0.137,318.454,0.737,1038,0.177
bar,0.135,319.315,0.632,1074,-1.062
bar,0.135,320.213,0.653,1049,0.214
bar,0.132,321.114,0.655,1050,-0.135
