Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
bar,0.153,149.562,0.803,1067,11.323
bar,0.150,150.617,0.782,1063,12.197
bar,0.152,151.697,0.816,1071,11.319
bar,0.151,152.689,0.725,1083,9.231
bar,0.147,153.715,0.767,1036,12.190
bar,0.156,154.731,0.743,1040,11.597
bar,0.178,155.868,0.834,1040,nan
bar,0.176,156.963,0.800,1035,5.550
bar,0.153,158.050,0.808,1072,11.737
bar,0.155,159.014,0.698,1065,3.065
bar,0.175,160.066,0.757,1049,11.313
bar,0.164,161.037,0.705,1033,11.321
bar,0.160,162.116,0.791,1067,9.272
bar,0.173,163.198,0.778,1040,nan
bar,0.151,164.253,0.789,1071,11.319
bar,0.147,165.330,0.806,1037,11.319
bar,0.158,166.280,0.693,1070,11.320
bar,0.160,167.374,0.821,1059,6.396
bar,0.149,168.452,0.804,1061,12.148
bar,0.147,169.449,0.751,1040,nan
bar,0.160,170.369,0.686,1035,11.320
bar,0.177,171.503,0.836,1066,8.435
bar,0.142,172.589,0.818,1040,nan
bar,0.161,173.652,0.779,1067,12.272
bar,0.178,174.675,0.742,1136,11.319
bar,0.160,175.785,0.818,1035,5.550
bar,0.159,176.834,0.785,1035,11.320
bar,0.159,177.805,0.710,1040,nan
bar,0.156,178.877,0.806,1074,2.923
bar,0.157,179.963,0.798,1071,11.319
bar,0.146,180.911,0.700,1067,9.272
bar,0.153,181.903,0.725,1045,5.543
bar,0.159,182.974,0.799,1069,11.321
bar,0.153,184.050,0.801,1040,nan
bar,0.170,185.046,0.719,1032,9.396
bar,0.184,186.354,0.994,1076,11.735
bar,0.157,187.555,0.929,1040,nan
bar,0.170,188.791,0.967,1076,7.468
bar,0.187,190.131,1.022,1066,8.435
bar,0.271,191.446,0.937,1040,nan
bar,0.167,192.696,0.952,1037,11.319
bar,0.168,193.829,0.837,1033,11.321
bar,0.173,194.948,0.826,1040,nan
bar,0.168,196.110,0.873,1071,11.319
bar,0.173,197.128,0.744,1045,5.543
bar,0.187,198.441,0.984,1113,12.147
bar,0.214,199.897,1.103,1109,10.240
bar,0.152,201.228,1.057,1067,11.323
bar,0.156,202.318,0.826,1040,nan
bar,0.169,203.415,0.807,1053,5.012
bar,0.164,204.487,0.785,1031,9.396
bar,0.154,205.683,0.920,1136,11.319
bar,0.156,206.914,0.948,1075,11.735
bar,0.153,208.079,0.895,1048,12.147
bar,0.187,209.264,0.886,1032,2.244
bar,0.149,210.303,0.765,1047,4.048
bar,0.201,211.569,0.938,1081,5.122
bar,0.169,212.762,0.896,1068,5.129
bar,0.224,214.213,1.094,1066,8.435
bar,0.170,215.403,0.918,1071,11.319
bar,0.164,216.393,0.716,1040,nan
bar,0.170,217.597,0.903,1075,4.204
bar,0.176,218.915,1.012,1067,11.323
bar,0.157,220.032,0.835,1071,11.319
bar,0.175,221.235,0.921,1112,7.413
bar,0.173,222.600,1.051,1071,11.319
bar,0.156,223.935,1.042,1070,11.320
bar,0.157,224.931,0.740,1059,9.878
bar,0.153,226.039,0.836,1035,-1.060
bar,0.176,227.269,0.915,1089,11.301
bar,0.182,228.594,1.027,1045,8.457
bar,0.184,229.682,0.796,1035,5.550
bar,0.175,230.675,0.712,1078,11.734
bar,0.204,232.358,1.330,1079,3.177
bar,0.159,233.815,1.160,1040,nan
bar,0.174,234.871,0.774,1032,9.396
bar,0.166,235.909,0.758,1091,3.891
bar,0.160,237.017,0.823,1040,nan
bar,0.169,238.145,0.837,1058,3.336
bar,0.190,239.253,0.793,1051,3.057
bar,0.147,240.170,0.674,1036,1.580
bar,0.160,241.339,0.879,1037,-1.062
bar,0.191,242.571,0.918,1068,5.129
bar,0.185,243.806,0.920,1047,5.542
bar,0.179,245.073,0.961,1068,4.168
bar,0.156,246.229,0.872,1058,2.034
bar,0.177,247.358,0.833,1040,nan
bar,0.190,248.422,0.771,1040,7.399
bar,0.144,249.458,0.772,1039,2.240
bar,0.160,250.931,1.174,1079,11.733
bar,0.159,251.951,0.738,1067,11.323
bar,0.147,252.999,0.770,1078,3.329
bar,0.148,254.066,0.795,1050,0.802
bar,0.151,255.283,0.939,1040,nan
bar,0.176,256.520,0.925,1036,11.320
bar,0.162,257.436,0.661,1047,5.542
bar,0.183,258.636,0.901,1072,1.244
bar,0.163,259.844,0.903,1140,5.474
bar,0.289,261.233,0.953,1058,1.414
bar,0.183,262.428,0.899,1076,0.191
bar,0.164,263.449,0.749,1040,nan
bar,0.151,264.420,0.703,1039,2.708
bar,0.163,265.560,0.842,1063,8.643
bar,0.185,266.582,0.728,1067,5.129
bar,0.166,267.595,0.750,1040,nan
bar,0.188,268.767,0.856,1172,11.596
bar,0.159,269.984,0.917,1129,5.827
bar,0.171,271.130,0.852,1134,11.321
bar,0.167,272.193,0.778,1068,5.129
bar,0.154,273.291,0.831,1070,11.320
bar,0.172,274.390,0.811,1074,9.672
bar,0.151,275.525,0.853,1086,9.327
bar,0.165,276.665,0.871,1070,11.320
bar,0.156,277.535,0.641,1040,nan
bar,0.156,278.490,0.696,1035,5.550
bar,0.147,279.622,0.857,1079,11.733
bar,0.152,280.751,0.844,1079,12.142
bar,0.160,281.868,0.826,1062,11.321
bar,0.155,282.969,0.830,1029,-0.249
bar,0.156,284.059,0.815,1040,nan
bar,0.180,285.343,0.964,1085,7.240
bar,0.183,286.727,1.084,1136,11.319
bar,0.173,287.756,0.746,1041,11.596
bar,0.166,288.818,0.782,1036,11.320
bar,0.151,289.865,0.773,1066,8.435
bar,0.168,291.113,0.952,1040,-0.085
bar,0.197,292.316,0.892,1040,nan
bar,0.150,293.469,0.887,1071,11.319
bar,0.164,294.621,0.865,1066,8.435
bar,0.162,295.739,0.844,1058,11.612
bar,0.176,296.844,0.809,1048,12.147
bar,0.190,298.061,0.902,1040,nan
bar,0.179,299.269,0.908,1040,nan
bar,0.175,300.757,1.185,1079,11.733
bar,0.158,301.782,0.751,1025,8.858
bar,0.167,302.870,0.808,1037,11.319
bar,0.159,303.911,0.763,1045,12.150
bar,0.156,304.982,0.805,1057,17.192
bar,0.158,305.969,0.748,1040,nan
bar,0.161,306.971,0.731,1055,9.678
bar,0.182,308.097,0.808,1077,11.313
bar,0.153,309.177,0.810,1035,11.320
bar,0.155,310.177,0.734,1040,nan
bar,0.173,311.202,0.735,1030,8.420
bar,0.154,312.247,0.782,1071,11.319
bar,0.165,313.352,0.816,1031,12.158
bar,0.162,314.375,0.760,1048,12.147
bar,0.156,315.411,0.787,1037,11.319
bar,0.158,316.452,0.763,1075,6.380
bar,0.158,317.550,0.823,1070,11.320
bar,0.147,318.450,0.656,1033,11.321
bar,0.160,319.616,0.881,1070,11.320
bar,0.160,320.670,0.773,1065,8.435
bar,0.158,321.693,0.755,1037,11.319
bar,0.175,322.742,0.758,1040,nan
bar,0.164,323.815,0.789,1071,11.319
bar,0.146,324.935,0.843,1079,11.477
bar,0.164,325.999,0.780,1070,11.320
bar,0.172,326.835,0.569,1048,12.147
