Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
bar,0.170,200.071,1.007,1048,12.147
bar,0.166,201.446,1.027,1071,11.319
bar,0.192,202.821,0.966,1030,5.485
bar,0.187,204.269,1.029,1069,11.321
bar,0.177,205.622,0.963,1071,11.319
bar,0.201,207.042,1.024,1040,nan
bar,0.169,208.840,1.399,1079,6.856
bar,0.183,210.343,1.103,1131,12.207
bar,0.167,211.731,1.013,1082,-1.107
bar,0.199,213.398,1.237,1065,8.435
bar,0.187,214.828,1.042,1054,13.076
bar,0.217,216.374,1.119,1034,13.028
bar,0.180,217.820,1.058,1031,-1.061
bar,0.219,219.131,0.900,1066,5.130
bar,0.209,220.559,1.007,1036,11.320
bar,0.168,221.876,0.952,1053,1.424
bar,0.216,223.390,1.096,1096,-1.062
bar,0.177,224.701,0.974,1114,6.187
bar,0.170,225.907,0.891,1028,-1.062
bar,0.175,227.043,0.817,1061,2.386
bar,0.182,228.312,0.918,1080,-1.061
bar,0.182,229.545,0.890,1026,0.826
bar,0.239,230.984,1.015,1105,nan
bar,0.177,232.257,0.940,1071,12.059
bar,0.197,233.487,0.875,1071,11.319
bar,0.185,234.703,0.864,1059,6.396
bar,0.157,235.937,0.910,1040,nan
bar,0.172,237.059,0.796,1040,2.210
bar,0.166,238.340,0.918,1049,0.594
bar,0.172,239.502,0.811,1049,2.432
bar,0.163,240.581,0.750,1031,-0.109
bar,0.195,241.898,0.919,1065,-1.062
bar,0.159,243.137,0.882,1059,-1.000
bar,0.172,244.418,0.905,1076,-1.062
bar,0.168,245.599,0.830,1043,1.500
bar,0.167,246.836,0.884,1087,-1.062
bar,0.182,248.113,0.913,1058,-1.069
bar,0.178,249.227,0.772,1028,-1.062
bar,0.176,250.513,0.911,1086,3.066
bar,0.178,251.828,0.947,1052,2.652
bar,0.177,253.107,0.912,1053,0.707
bar,0.169,254.204,0.769,1028,-1.062
bar,0.152,255.461,0.908,1042,2.366
bar,0.178,256.736,0.900,1087,-1.062
bar,0.201,258.041,0.910,1048,-0.550
bar,0.159,259.327,0.924,1080,2.034
bar,0.169,260.396,0.742,1026,0.826
bar,0.178,261.644,0.880,1091,0.006
bar,0.161,262.971,0.966,1034,-1.062
bar,0.174,264.154,0.838,1028,2.863
bar,0.154,265.463,0.950,1040,nan
bar,0.181,266.572,0.763,1071,11.319
bar,0.177,267.846,0.916,1067,5.129
bar,0.187,269.211,0.965,1106,2.965
bar,0.163,270.377,0.829,1058,-1.069
bar,0.162,271.651,0.909,1080,2.034
bar,0.174,273.017,0.991,1145,-1.061
bar,0.161,274.353,0.969,1141,-0.519
bar,0.173,275.629,0.909,1064,3.065
bar,0.164,276.784,0.821,1070,6.245
bar,0.183,278.058,0.927,1037,-1.062
bar,0.179,279.379,0.989,1071,11.319
bar,0.172,280.564,0.840,1030,7.193
bar,0.158,281.776,0.867,1032,2.244
bar,0.158,283.068,0.945,1063,2.444
bar,0.167,284.207,0.806,1048,12.147
bar,0.173,285.541,0.968,1040,nan
bar,0.167,286.787,0.892,1065,-0.350
bar,0.186,288.006,0.857,1041,1.601
bar,0.178,289.195,0.841,1046,0.486
bar,0.173,290.412,0.866,1054,1.415
bar,0.198,291.658,0.855,1081,-0.367
bar,0.171,293.013,0.963,1146,-1.062
bar,0.164,294.277,0.910,1027,0.589
bar,0.168,295.570,0.934,1120,1.002
bar,0.204,296.988,1.016,1126,0.585
bar,0.157,298.222,0.903,1037,-1.062
bar,0.183,299.517,0.947,1029,-0.677
bar,0.182,300.830,0.938,1076,4.216
bar,0.170,302.101,0.916,1031,0.259
bar,0.163,303.393,0.928,1061,-1.070
bar,0.181,304.759,0.974,1028,5.129
bar,0.162,305.861,0.783,1070,11.320
bar,0.167,307.246,1.003,1068,5.129
bar,0.161,308.500,0.915,1040,nan
bar,0.158,309.697,0.872,1067,9.272
bar,0.163,310.981,0.930,1045,5.543
bar,0.156,312.255,0.917,1046,9.284
bar,0.172,313.503,0.894,1105,nan
bar,0.190,314.742,0.863,1048,12.147
bar,0.158,315.999,0.916,1034,-1.062
bar,0.156,317.225,0.890,1143,2.244
bar,0.167,318.483,0.887,1075,2.030
bar,0.165,319.774,0.933,1028,5.445
bar,0.172,320.972,0.862,1042,5.544
bar,0.185,322.246,0.897,1035,5.550
bar,0.162,323.470,0.882,1034,-1.062
bar,0.155,324.641,0.835,1026,1.852
bar,0.146,325.758,0.804,1053,1.002
bar,0.173,327.114,0.971,1086,1.407
bar,0.166,328.393,0.919,1088,-1.062
bar,0.176,329.652,0.908,1042,3.341
