Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
bar,0.626,1742.917,9.319,10247,2.999
bar,0.677,1753.334,8.740,10288,2.082
bar,0.702,1764.134,9.106,10244,2.423
bar,0.690,1774.613,8.785,10294,3.869
bar,0.685,1785.088,8.777,10277,1.135
bar,0.742,1796.139,9.326,10280,3.606
bar,0.719,1808.361,10.455,10270,2.353
bar,0.667,1819.422,9.436,10260,3.071
bar,0.696,1829.902,8.796,10280,2.069
bar,0.730,1840.370,8.765,10289,4.061
bar,0.708,1851.627,9.509,10258,1.070
bar,0.744,1862.247,8.879,10259,1.542
bar,0.773,1873.429,9.405,10321,4.582
bar,0.720,1884.485,9.309,10299,2.017
bar,0.652,1895.266,9.144,10304,2.260
bar,0.646,1906.212,9.287,10273,2.514
bar,0.616,1916.647,8.842,10301,2.531
bar,0.670,1926.930,8.599,10257,1.311
bar,0.659,1937.260,8.654,10249,1.463
bar,0.697,1947.765,8.791,10260,2.819
bar,0.688,1958.186,8.766,10255,4.387
bar,0.678,1968.592,8.756,10277,1.877
bar,0.700,1979.024,8.741,10259,4.205
bar,0.620,1989.342,8.710,10294,1.482
bar,0.669,1999.863,8.825,10262,3.675
bar,0.648,2010.111,8.629,10297,1.357
bar,0.646,2020.441,8.687,10251,2.301
bar,0.651,2030.861,8.781,10254,1.550
bar,0.607,2041.134,8.677,10300,2.689
bar,0.721,2051.637,8.790,10297,3.417
bar,0.739,2062.062,8.686,10293,2.471
bar,0.694,2072.507,8.768,10265,3.428
bar,0.694,2082.804,8.609,10263,2.101
bar,0.701,2093.249,8.727,10288,1.913
